"sample_id","program_name","toolchain","binary_name","binary_path","file_extension","file_size_bytes","binary_format","architecture","bitness","stripped_status","symbol_status","metadata_available","func_label","program_language","basic","network_communication","building","split_group_program","leakage_guard","redistribution_status","notes"
"CODESYS__ARRAY_ABS","_ARRAY_ABS","CODESYS","codesys__ARRAY_ABS.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_ABS.app",".app","183880","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","_ARRAY_ABS","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__ARRAY_ADD","_ARRAY_ADD","CODESYS","codesys__ARRAY_ADD.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_ADD.app",".app","184176","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","_ARRAY_ADD","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__ARRAY_INIT","_ARRAY_INIT","CODESYS","codesys__ARRAY_INIT.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_INIT.app",".app","183888","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","_ARRAY_INIT","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__ARRAY_MEDIAN","_ARRAY_MEDIAN","CODESYS","codesys__ARRAY_MEDIAN.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_MEDIAN.app",".app","185072","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","no","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","_ARRAY_MEDIAN","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__ARRAY_MUL","_ARRAY_MUL","CODESYS","codesys__ARRAY_MUL.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_MUL.app",".app","184200","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","_ARRAY_MUL","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__ARRAY_SHUFFLE","_ARRAY_SHUFFLE","CODESYS","codesys__ARRAY_SHUFFLE.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_SHUFFLE.app",".app","186488","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","_ARRAY_SHUFFLE","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__ARRAY_SORT","_ARRAY_SORT","CODESYS","codesys__ARRAY_SORT.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__ARRAY_SORT.app",".app","184832","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Array_Buffer_Mem_List","Structured Text","1","0","0","_ARRAY_SORT","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__BUFFER_CLEAR","_BUFFER_CLEAR","CODESYS","codesys__BUFFER_CLEAR.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__BUFFER_CLEAR.app",".app","184312","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","no","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","_BUFFER_CLEAR","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__BUFFER_INIT","_BUFFER_INIT","CODESYS","codesys__BUFFER_INIT.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__BUFFER_INIT.app",".app","184404","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","no","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","_BUFFER_INIT","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__BUFFER_INSERT","_BUFFER_INSERT","CODESYS","codesys__BUFFER_INSERT.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__BUFFER_INSERT.app",".app","184920","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","no","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","_BUFFER_INSERT","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__BUFFER_UPPERCASE","_BUFFER_UPPERCASE","CODESYS","codesys__BUFFER_UPPERCASE.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__BUFFER_UPPERCASE.app",".app","185184","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","no","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN_NEEDS_METADATA_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","_BUFFER_UPPERCASE","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
"CODESYS__RMP_B","_RMP_B","CODESYS","codesys__RMP_B.app","AICPS-PLCBEAD_PLCEmbed-c78a56f\PLC-BEAD\Binary\All_PLC_Program_Binaries\codesys__RMP_B.app",".app","186880","CODESYS_APP_CONTAINER","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","UNKNOWN_NEEDS_BINARY_REVIEW","yes","Signal_Gen","Structured Text","1","0","0","_RMP_B","PROGRAM_LEVEL_SPLIT_REQUIRED","LOCAL_PROJECT_DATASET","Manifest generated from local PLC-BEAD metadata and binary filenames; no binary semantic analysis performed."
