"program_name","func_label","fold_id","toolchain_count","sample_count","has_codesys","has_geb","has_openplcv2","has_openplcv3","split_policy"
"ACTUATOR_3P","Actuators_HVAC","fold_0","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ACTUATOR_A","Actuators_HVAC","fold_1","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ACTUATOR_COIL","Actuators_HVAC","fold_2","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ACTUATOR_PUMP","Actuators_HVAC","fold_3","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"ACTUATOR_UD","Actuators_HVAC","fold_4","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"AIR_DENSITY","Actuators_HVAC","fold_5","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"AIR_ENTHALPY","Actuators_HVAC","fold_6","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"AUTORUN","Actuators_HVAC","fold_7","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BOILER","Actuators_HVAC","fold_8","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"BURNER","Actuators_HVAC","fold_9","2","2","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DEW_CON","Actuators_HVAC","fold_0","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DEW_RH","Actuators_HVAC","fold_1","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"DEW_TEMP","Actuators_HVAC","fold_2","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"HEAT_INDEX","Actuators_HVAC","fold_3","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"HEAT_METER","Actuators_HVAC","fold_4","1","1","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"HEAT_TEMP","Actuators_HVAC","fold_5","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
"LEGIONELLA","Actuators_HVAC","fold_6","3","3","0","0","0","0","STRATIFIED_10_FOLD_BY_FUNC_LABEL_PROGRAM_LEVEL"
