relation_id,sample_id,sha256,function_id,source_node,target_node,relation_type,tool,command_or_analysis_step,confidence,uncertainty_reason,evidence_label
V23-R-0000001,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,entry0,0x401128,0x4021ad,data_reference,radare2 6.1.9 via r2pipe,pdfj @ 0x401110; DATA ref,MEDIUM,Static reference does not establish runtime data provenance.,DERIVED_EVIDENCE
V23-R-0000002,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x401150,0x401170,basic_block_edge,radare2 6.1.9 via r2pipe,aaa; agfj @ 0x401150; jump,HIGH,Static CFG may omit indirect or computed transfers.,DERIVED_EVIDENCE
V23-R-0000003,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x401150,0x40115d,basic_block_edge,radare2 6.1.9 via r2pipe,aaa; agfj @ 0x401150; fail,HIGH,Static CFG may omit indirect or computed transfers.,DERIVED_EVIDENCE
V23-R-0000004,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x40115d,0x401170,basic_block_edge,radare2 6.1.9 via r2pipe,aaa; agfj @ 0x401150; jump,HIGH,Static CFG may omit indirect or computed transfers.,DERIVED_EVIDENCE
V23-R-0000005,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x40115d,0x401167,basic_block_edge,radare2 6.1.9 via r2pipe,aaa; agfj @ 0x401150; fail,HIGH,Static CFG may omit indirect or computed transfers.,DERIVED_EVIDENCE
V23-R-0000006,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x401150,0x405050,data_reference,radare2 6.1.9 via r2pipe,pdfj @ 0x401150; DATA ref,MEDIUM,Static reference does not establish runtime data provenance.,DERIVED_EVIDENCE
V23-R-0000007,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x401155,0x405050,data_reference,radare2 6.1.9 via r2pipe,pdfj @ 0x401150; DATA ref,MEDIUM,Static reference does not establish runtime data provenance.,DERIVED_EVIDENCE
V23-R-0000008,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401150,0x401167,0x405050,data_reference,radare2 6.1.9 via r2pipe,pdfj @ 0x401150; DATA ref,MEDIUM,Static reference does not establish runtime data provenance.,DERIVED_EVIDENCE
V23-R-0000009,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401180,0x401180,0x4011b0,basic_block_edge,radare2 6.1.9 via r2pipe,aaa; agfj @ 0x401180; jump,HIGH,Static CFG may omit indirect or computed transfers.,DERIVED_EVIDENCE
V23-R-0000010,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,fcn.00401180,0x401180,0x40119f,basic_block_edge,radare2 6.1.9 via r2pipe,aaa; agfj @ 0x401180; fail,HIGH,Static CFG may omit indirect or computed transfers.,DERIVED_EVIDENCE
