uncertainty_id,sample_id,sha256,stage,uncertainty_reason,impact,evidence_label
V23-U-00001,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00002,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00003,ENIP34026-AFFECTED-GCC-O0-U,b3b00d6db0f1acece0000885884d775deeaa7caa7f858aef25569351df1de35e,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00004,ENIP34026-AFFECTED-GCC-O0-U,b3b00d6db0f1acece0000885884d775deeaa7caa7f858aef25569351df1de35e,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00005,ENIP34026-PATCHLINKED-GCC-O0-S,033b4c067c8b7ecef0ef85a01edb05d0badc672061fe5b0d8e2218bf1e564c25,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00006,ENIP34026-PATCHLINKED-GCC-O0-S,033b4c067c8b7ecef0ef85a01edb05d0badc672061fe5b0d8e2218bf1e564c25,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00007,PCCC39589_39590-AFFECTED-GCC-O0-S,a37055698f8abae7a4d590dca6bc789436d69cd83516c22ed5646031f50daceb,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00008,PCCC39589_39590-AFFECTED-GCC-O0-S,a37055698f8abae7a4d590dca6bc789436d69cd83516c22ed5646031f50daceb,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
V23-U-00009,PCCC39589_39590-AFFECTED-GCC-O0-U,4b2a5c2fad5b29197e9327e94bbfcf2d26a58efbab652de9a4d0c064c46efd3e,static_analysis,"Static recovery can miss indirect calls, computed edges, and runtime-loaded code.",Extracted relations are demonstrative and incomplete.,DERIVED_EVIDENCE
V23-U-00010,PCCC39589_39590-AFFECTED-GCC-O0-U,4b2a5c2fad5b29197e9327e94bbfcf2d26a58efbab652de9a4d0c064c46efd3e,label_scope,CVE/patch linkage does not prove exploitability or corrected behavior.,No behavioral or accuracy claim is permitted.,NEEDS_EXPERT_REVIEW
