sample_id,program_name,toolchain,fold_id,source_match_status,source_file_count,source_paths_rel,source_sha256,source_function_block_names,source_function_names,source_program_names,source_oracle_function_block,production_sa001_positive,ungated_pattern_positive,ungated_confusion_category,oracle_definition,rule_definition,evidence_label,uncertainty_reason
geb_ACOSH,ACOSH,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ACOSH/ACOSH.ST,844ea889afdf65ecdc4b09538f5ea3ae3a3d9b77bde79082031874296ba42f56,,ACOSH,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ACOTH,ACOTH,GEB,fold_2,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/ACOTH/ACOTH.ST,3d1a9db05dd4fd00d8e22c8f4e14b442ec9b2d306693e1dcde22ad098d38f27e,,ACOTH,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ACTUATOR_3P,ACTUATOR_3P,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_ACTUATOR_3P/ACTUATOR_3P.ST,9f99eda9031c274b946c5bd06e13b02b6f8bbc89aba34143ae1cd3a019c1a169,ACTUATOR_3P_Block;TREND_DW;T_PLC_MS_block;_RMP_B;_RMP_NEXT_Block,FRMP_B;TIME_TO_UDINT2;UDINT_TO_TIME2;_BYTE_TO_INT,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ACTUATOR_COIL,ACTUATOR_COIL,GEB,fold_2,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_ACTUATOR_COIL/ACTUATOR_COIL.ST,cb2ee0fef2dd34c669955ca8f0e595bc0b385107d795c91ff46840fc6a2cf545,ACTUATOR_COIL_Block;T_PLC_MS_block,TIME_TO_UDINT2;UDINT_TO_TIME2,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ACTUATOR_PUMP,ACTUATOR_PUMP,GEB,fold_3,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_ACTUATOR_PUMP/ACTUATOR_PUMP.ST,029634dbf3666d0c935993c46fb03dac31f8e373b0e987a4a9bf4e4c3f0bb27f,ACTUATOR_PUMP_Block;ONTIME_Block;T_PLC_MS_block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_ACTUATOR_UD,ACTUATOR_UD,GEB,fold_4,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_ACTUATOR_UD/ACTUATOR_UD.ST,36d2aa634d58e27a55e22dc8d301307ffac0c0100269017d087a9cd5021155d6,ACTUATOR_UD_Block;T_PLC_MS_block,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_AGDF,AGDF,GEB,fold_3,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/AGDF/AGDF.ST,db59dfd579da49961d8f7cb7e0bc107aa8f20dbc2336d91619dc23ef8f80aadb,,AGDF,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_AIN,AIN,GEB,fold_0,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/AIN/AIN.ST,06a927068966aa1e2bacd5a2992196ab08745bd0299aa39ffbea258d45a715b2,,AIN;BIT_OF_DWORD;_BYTE_TO_INT;_DWORD_TO_REAL,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_AIN1,AIN1,GEB,fold_1,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/AIN1/AIN1.ST,cd2df607c758b65d32c7405f531e7d925c3bda4a67f07896b9e34be4060d689f,AIN1,,program0,True,True,True,TP,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
geb_AIR_DENSITY,AIR_DENSITY,GEB,fold_5,UNIQUE,1,AICPS-PLCBEAD_PLCEmbed-c78a56f/PLC-BEAD/Source/GEB/building_AIR_DENSITY/AIR_DENSITY.ST,d1c9d5a104659329201f4f4dacb5abb408a266679bdedfee99ba1b3cd831f928,,AIR_DENSITY;SDD,program0,False,False,False,TN,explicit FUNCTION_BLOCK declaration in mapped Structured Text source,production: GEB-scoped dt_FB_; probe: ungated core_symbol_text contains dt_FB_,DERIVED_EVIDENCE,
