uncertainty_id,fold_id,sample_id,toolchain,split_membership,codesys_flag,binary_sha256,affected_field,uncertainty_code,severity,recoverability,evidence_trace,notes,evidence_label
codesys_ACOSH::EC1::U01::1,fold_0,codesys_ACOSH,CODESYS,train,codesys,cda21588cd57e5553fe781d71de8e676dfb31ba3c6e8699c111e093f9f412b69,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOSH:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ACOSH::EC2::U01::2,fold_0,codesys_ACOSH,CODESYS,train,codesys,cda21588cd57e5553fe781d71de8e676dfb31ba3c6e8699c111e093f9f412b69,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOSH:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ACOSH::EC3::U11::3,fold_0,codesys_ACOSH,CODESYS,train,codesys,cda21588cd57e5553fe781d71de8e676dfb31ba3c6e8699c111e093f9f412b69,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOSH:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ACOSH::EC4::U13::4,fold_0,codesys_ACOSH,CODESYS,train,codesys,cda21588cd57e5553fe781d71de8e676dfb31ba3c6e8699c111e093f9f412b69,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOSH:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ACOSH::EC5::U02::5,fold_0,codesys_ACOSH,CODESYS,train,codesys,cda21588cd57e5553fe781d71de8e676dfb31ba3c6e8699c111e093f9f412b69,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOSH:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
codesys_ACOTH::EC1::U01::1,fold_0,codesys_ACOTH,CODESYS,train,codesys,f9605c962320d0a25f2d1218475fc50733c6ee48ac161bd284eb82f3bcee8260,EC1,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOTH:EC1,CODESYS app container not parsed by V2 prototype,DERIVED_EVIDENCE
codesys_ACOTH::EC2::U01::2,fold_0,codesys_ACOTH,CODESYS,train,codesys,f9605c962320d0a25f2d1218475fc50733c6ee48ac161bd284eb82f3bcee8260,EC2,U01,blocking,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOTH:EC2,core logic not recoverable from V2 row,DERIVED_EVIDENCE
codesys_ACOTH::EC3::U11::3,fold_0,codesys_ACOTH,CODESYS,train,codesys,f9605c962320d0a25f2d1218475fc50733c6ee48ac161bd284eb82f3bcee8260,EC3,U11,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOTH:EC3,semantic facts unavailable from V2 row,DERIVED_EVIDENCE
codesys_ACOTH::EC4::U13::4,fold_0,codesys_ACOTH,CODESYS,train,codesys,f9605c962320d0a25f2d1218475fc50733c6ee48ac161bd284eb82f3bcee8260,EC4,U13,medium,needs_manual_review,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOTH:EC4,CODESYS remains state-evidence pending recovery,DERIVED_EVIDENCE
codesys_ACOTH::EC5::U02::5,fold_0,codesys_ACOTH,CODESYS,train,codesys,f9605c962320d0a25f2d1218475fc50733c6ee48ac161bd284eb82f3bcee8260,EC5,U02,high,blocked_by_format,ALL_POPULATION_SAMPLE_FEATURES.csv:codesys_ACOTH:EC5,relation graph limited to uncertainty/card edges,DERIVED_EVIDENCE
