category_type,category_id,used_row_count,filled,partial,missing,observed_in_primary_population,content_validity_status,evidence_label
EC_SLOT,EC1,2431,1876,555,0,True,EMPIRICALLY_INSTANTIATED_NOT_INDEPENDENTLY_HUMAN_VALIDATED,DERIVED_EVIDENCE
EC_SLOT,EC2,2431,1876,555,0,True,EMPIRICALLY_INSTANTIATED_NOT_INDEPENDENTLY_HUMAN_VALIDATED,DERIVED_EVIDENCE
EC_SLOT,EC3,2431,1876,555,0,True,EMPIRICALLY_INSTANTIATED_NOT_INDEPENDENTLY_HUMAN_VALIDATED,DERIVED_EVIDENCE
EC_SLOT,EC4,2431,475,1956,0,True,EMPIRICALLY_INSTANTIATED_NOT_INDEPENDENTLY_HUMAN_VALIDATED,DERIVED_EVIDENCE
EC_SLOT,EC5,2431,1876,555,0,True,EMPIRICALLY_INSTANTIATED_NOT_INDEPENDENTLY_HUMAN_VALIDATED,DERIVED_EVIDENCE
EC_SLOT,EC6,2431,2431,0,0,True,EMPIRICALLY_INSTANTIATED_NOT_INDEPENDENTLY_HUMAN_VALIDATED,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U01,1110,N/A,N/A,N/A,True,OBSERVED,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U02,555,N/A,N/A,N/A,True,OBSERVED,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U03,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U04,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U05,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U06,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U07,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U08,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U09,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U10,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U11,555,N/A,N/A,N/A,True,OBSERVED,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U12,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U13,555,N/A,N/A,N/A,True,OBSERVED,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U14,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U09a,0,N/A,N/A,N/A,False,DEFINED_BUT_NOT_OBSERVED_IN_PRIMARY_POPULATION,DERIVED_EVIDENCE
UNCERTAINTY_CODE,U09b,1401,N/A,N/A,N/A,True,OBSERVED,DERIVED_EVIDENCE
