corpus,sample_count,evidence_field,support_status,closure_status,count,evidence_label
PLC-BEAD,2431,ec1_function_recovery,supported,not_required,1876,DERIVED_EVIDENCE
PLC-BEAD,2431,ec1_function_recovery,unobserved,explained,555,DERIVED_EVIDENCE
PLC-BEAD,2431,ec2_core_logic_candidate,supported,not_required,1876,DERIVED_EVIDENCE
PLC-BEAD,2431,ec2_core_logic_candidate,unobserved,explained,555,DERIVED_EVIDENCE
PLC-BEAD,2431,ec3_static_facts,supported,not_required,1876,DERIVED_EVIDENCE
PLC-BEAD,2431,ec3_static_facts,unobserved,explained,555,DERIVED_EVIDENCE
PLC-BEAD,2431,ec4_declared_state_role,not_supported,explained,1401,DERIVED_EVIDENCE
PLC-BEAD,2431,ec4_declared_state_role,supported,not_required,475,DERIVED_EVIDENCE
PLC-BEAD,2431,ec4_declared_state_role,unobserved,explained,555,DERIVED_EVIDENCE
PLC-BEAD,2431,ec5_relation_graph,supported,not_required,1876,DERIVED_EVIDENCE
PLC-BEAD,2431,ec5_relation_graph,unobserved,explained,555,DERIVED_EVIDENCE
OpenPLC/radare2,10,ec1_function_recovery,supported,not_required,10,DERIVED_EVIDENCE
OpenPLC/radare2,10,ec2_core_logic_candidate,unobserved,explained,10,DERIVED_EVIDENCE
OpenPLC/radare2,10,ec3_static_facts,supported,not_required,10,DERIVED_EVIDENCE
OpenPLC/radare2,10,ec4_declared_state_role,unobserved,explained,10,DERIVED_EVIDENCE
OpenPLC/radare2,10,ec5_relation_graph,supported,not_required,10,DERIVED_EVIDENCE
Schneider/VxWorks,2,ec1_function_recovery,supported,not_required,2,DERIVED_EVIDENCE
Schneider/VxWorks,2,ec2_core_logic_candidate,unobserved,explained,2,DERIVED_EVIDENCE
Schneider/VxWorks,2,ec3_static_facts,supported,not_required,2,DERIVED_EVIDENCE
Schneider/VxWorks,2,ec4_declared_state_role,unobserved,explained,2,DERIVED_EVIDENCE
Schneider/VxWorks,2,ec5_relation_graph,unobserved,explained,2,DERIVED_EVIDENCE
