sample_id,sha256,case_id,cve,compiler,optimization,stripped_status,pair_role,architecture,relation_row_count,relation_type_count,relation_sha256_status,eligibility_status,exclusion_reason,eligibility_rule,evidence_label
ENIP34026-AFFECTED-CLANG-O0-S,f2f2885c434b3838c83f442398154af0962bf1d2993b0fb97c02b3fdc04357aa,enip34026,CVE-2024-34026,clang,O0,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-CLANG-O0-U,840a6aac155001ce7a3121f2d91610e2be713e46cf413c893918ba0712ade364,enip34026,CVE-2024-34026,clang,O0,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-CLANG-O2-S,9a0b1dc32aa1d41988a84dedae7e9933af8d6bdb3c153e0c2183ab90a4ed5d0c,enip34026,CVE-2024-34026,clang,O2,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-CLANG-O2-U,1bf65673bb246a5188760202762e1d2655b513f45efd56b94d21f3a0a438e9aa,enip34026,CVE-2024-34026,clang,O2,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,enip34026,CVE-2024-34026,gcc,O0,stripped,affected,Advanced Micro Devices X86-64,186,8,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O0-U,b3b00d6db0f1acece0000885884d775deeaa7caa7f858aef25569351df1de35e,enip34026,CVE-2024-34026,gcc,O0,unstripped,affected,Advanced Micro Devices X86-64,200,7,MATCH,INCLUDED_RELATION_BACKED_CARD_INPUT,NOT_APPLICABLE,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O1-S,668128a4d6d699574c7839153cfeb0868f8cda57b3ca80b03d5fe382a3eed1da,enip34026,CVE-2024-34026,gcc,O1,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O1-U,035d72e2f8987155cf3d1c1646454bf773c00f837d90e10695d11ef758152b34,enip34026,CVE-2024-34026,gcc,O1,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O2-S,5b6e119bae79fa72ba6aec5f5ab2e7a1da9fbe81cc910d72bee996d8b2276ea8,enip34026,CVE-2024-34026,gcc,O2,stripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
ENIP34026-AFFECTED-GCC-O2-U,18c590b716027fa496c7f77288ed37c2ed3a7f61c66fbd86e15ae92b6bc6a09f,enip34026,CVE-2024-34026,gcc,O2,unstripped,affected,Advanced Micro Devices X86-64,0,0,NOT_APPLICABLE,EXCLUDED_NO_LANDED_RELATION_ROWS,The sample has no rows in RELATION_EXTRACTION_RECORDS_v2_3.csv; the landed adapter therefore has no relation record to join.,sample_id present in landed relation table AND all relation SHA-256 values equal the v2.6 manifest SHA-256,DERIVED_EVIDENCE
