dimension,level,discovered_count,included_count,excluded_count,evidence_label
compiler,clang,10,0,10,DERIVED_EVIDENCE
compiler,gcc,46,10,36,DERIVED_EVIDENCE
optimization,O0,22,9,13,DERIVED_EVIDENCE
optimization,O1,4,0,4,DERIVED_EVIDENCE
optimization,O2,22,0,22,DERIVED_EVIDENCE
optimization,O3,4,0,4,DERIVED_EVIDENCE
optimization,project_O2,4,1,3,DERIVED_EVIDENCE
stripping,stripped,28,8,20,DERIVED_EVIDENCE
stripping,unstripped,28,2,26,DERIVED_EVIDENCE
source_case,enip34026,20,3,17,DERIVED_EVIDENCE
source_case,enip34026_v2_2_retained,8,0,8,DERIVED_EVIDENCE
source_case,enipthread54811,8,2,6,DERIVED_EVIDENCE
source_case,pccc39589_39590,8,3,5,DERIVED_EVIDENCE
source_case,runtime_current,4,1,3,DERIVED_EVIDENCE
source_case,server46613,8,1,7,DERIVED_EVIDENCE
pair_role,affected,32,6,26,DERIVED_EVIDENCE
pair_role,control,4,1,3,DERIVED_EVIDENCE
pair_role,patchlinked,20,3,17,DERIVED_EVIDENCE
