card_id,sample_id,binary_sha256,source_project,compiler,optimization,stripped_status,pair_role,relation_row_count,relation_type_count,unique_function_id_count,hint_row_count,graph_relation_count,uncertainty_record_count,ec1_function_recovery_status,ec2_core_logic_candidate_status,ec3_semantic_facts_status,ec4_state_evidence_status,ec5_relation_graph_status,ec6_uncertainty_log_status,three_channel_observability,three_channel_claim_support,three_channel_uncertainty,trace_basis,interpretation_boundary,evidence_label
JSS-EXT::ENIP34026-AFFECTED-GCC-O0-S,ENIP34026-AFFECTED-GCC-O0-S,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,OpenPLC_v3,gcc,O0,stripped,affected,186,8,13,10,146,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIP34026-AFFECTED-GCC-O0-U,ENIP34026-AFFECTED-GCC-O0-U,b3b00d6db0f1acece0000885884d775deeaa7caa7f858aef25569351df1de35e,OpenPLC_v3,gcc,O0,unstripped,affected,200,7,24,10,162,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIP34026-PATCHLINKED-GCC-O0-S,ENIP34026-PATCHLINKED-GCC-O0-S,033b4c067c8b7ecef0ef85a01edb05d0badc672061fe5b0d8e2218bf1e564c25,OpenPLC_v3,gcc,O0,stripped,patchlinked,197,8,13,10,157,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIPTHREAD54811-AFFECTED-GCC-O0-S,ENIPTHREAD54811-AFFECTED-GCC-O0-S,59262f274ed84de85ba69ff42a4a7bb72f395d6c9da27737dcf6e065a36cd385,OpenPLC_v3,gcc,O0,stripped,affected,19,5,7,1,12,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,b2640a280ac750572361f20eed5e102808fdc74905ef04dcdb04bca21bac89a4,OpenPLC_v3,gcc,O0,stripped,patchlinked,19,5,7,1,12,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,6015014dc6e1f76a069ec9c706d6abeb80ac3228d9cb99c84dc88c9c280838a8,openplc-runtime,gcc,project_O2,stripped,control,5001,6,132,161,3253,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::PCCC39589_39590-AFFECTED-GCC-O0-S,PCCC39589_39590-AFFECTED-GCC-O0-S,a37055698f8abae7a4d590dca6bc789436d69cd83516c22ed5646031f50daceb,OpenPLC_v3,gcc,O0,stripped,affected,307,8,17,14,231,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::PCCC39589_39590-AFFECTED-GCC-O0-U,PCCC39589_39590-AFFECTED-GCC-O0-U,4b2a5c2fad5b29197e9327e94bbfcf2d26a58efbab652de9a4d0c064c46efd3e,OpenPLC_v3,gcc,O0,unstripped,affected,326,7,27,21,246,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::PCCC39589_39590-PATCHLINKED-GCC-O0-S,PCCC39589_39590-PATCHLINKED-GCC-O0-S,b64a195af247f1bcf37b22e6338af246e62fd4f75b1b3bf130cdd7a4e31bbd8b,OpenPLC_v3,gcc,O0,stripped,patchlinked,307,8,17,14,231,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::SERVER46613-AFFECTED-GCC-O0-S,SERVER46613-AFFECTED-GCC-O0-S,fc9c1bcd56020066cb13d7fb68e74901996882e5dd80f08d73497113e1abf1d6,OpenPLC_v3,gcc,O0,stripped,affected,95,8,10,9,58,2,filled,partial,filled,partial,filled,filled,filled,partial,filled,v2.6 manifest SHA256 + v2.3 radare2 relation rows + v2.3 static-analysis and label-scope uncertainty records,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
