task,schema,signature,row_count,target_0_count,target_1_count,target_ambiguous,distinct_six_slot_states_merged,evidence_label
TOOL_OUTPUT_AVAILABILITY,S2_OBSERVABILITY_UNCERTAINTY,filled|filled,1873,0,1873,False,2,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S2_OBSERVABILITY_UNCERTAINTY,partial|filled,480,480,0,False,1,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S3_EMPIRICAL_CHANNELS,filled|filled|filled,475,0,475,False,1,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S3_EMPIRICAL_CHANNELS,filled|partial|filled,1398,0,1398,False,1,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S3_EMPIRICAL_CHANNELS,partial|partial|filled,480,480,0,False,1,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S6_TYPED_SLOTS,filled|filled|filled|filled|filled|filled,475,0,475,False,1,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S6_TYPED_SLOTS,filled|filled|filled|partial|filled|filled,1398,0,1398,False,1,DERIVED_EVIDENCE
TOOL_OUTPUT_AVAILABILITY,S6_TYPED_SLOTS,partial|partial|partial|partial|partial|filled,480,480,0,False,1,DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S2_OBSERVABILITY_UNCERTAINTY,filled|filled,1873,785,1088,True,2,DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S3_EMPIRICAL_CHANNELS,filled|filled|filled,475,24,451,True,1,DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S3_EMPIRICAL_CHANNELS,filled|partial|filled,1398,761,637,True,1,DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S6_TYPED_SLOTS,filled|filled|filled|filled|filled|filled,475,24,451,True,1,DERIVED_EVIDENCE
SOURCE_FUNCTION_BLOCK_PRESENCE,S6_TYPED_SLOTS,filled|filled|filled|partial|filled|filled,1398,761,637,True,1,DERIVED_EVIDENCE
