card_id,sample_id,toolchain,binary_sha256,compiler,optimization,stripped_status,pair_role,ec1_function_recovery_support_status,ec1_function_recovery_closure_status,ec1_function_recovery_uncertainty_codes,ec2_core_logic_candidate_support_status,ec2_core_logic_candidate_closure_status,ec2_core_logic_candidate_uncertainty_codes,ec3_static_facts_support_status,ec3_static_facts_closure_status,ec3_static_facts_uncertainty_codes,ec4_declared_state_role_support_status,ec4_declared_state_role_closure_status,ec4_declared_state_role_uncertainty_codes,ec5_relation_graph_support_status,ec5_relation_graph_closure_status,ec5_relation_graph_uncertainty_codes,card_closure_status,migration_basis,interpretation_boundary,evidence_label
JSS-EXT::ENIP34026-AFFECTED-GCC-O0-S,ENIP34026-AFFECTED-GCC-O0-S,radare2/r2pipe,c1d46e25b56e960c6e2bb064105f48b0df953c4ef9a02f460917de00ec1910a7,gcc,O0,stripped,affected,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIP34026-AFFECTED-GCC-O0-U,ENIP34026-AFFECTED-GCC-O0-U,radare2/r2pipe,b3b00d6db0f1acece0000885884d775deeaa7caa7f858aef25569351df1de35e,gcc,O0,unstripped,affected,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIP34026-PATCHLINKED-GCC-O0-S,ENIP34026-PATCHLINKED-GCC-O0-S,radare2/r2pipe,033b4c067c8b7ecef0ef85a01edb05d0badc672061fe5b0d8e2218bf1e564c25,gcc,O0,stripped,patchlinked,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIPTHREAD54811-AFFECTED-GCC-O0-S,ENIPTHREAD54811-AFFECTED-GCC-O0-S,radare2/r2pipe,59262f274ed84de85ba69ff42a4a7bb72f395d6c9da27737dcf6e065a36cd385,gcc,O0,stripped,affected,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,ENIPTHREAD54811-PATCHLINKED-GCC-O0-S,radare2/r2pipe,b2640a280ac750572361f20eed5e102808fdc74905ef04dcdb04bca21bac89a4,gcc,O0,stripped,patchlinked,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,OPENPLC-RUNTIME-CURRENT-GCC-PROJECT-O2-S,radare2/r2pipe,6015014dc6e1f76a069ec9c706d6abeb80ac3228d9cb99c84dc88c9c280838a8,gcc,project_O2,stripped,control,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::PCCC39589_39590-AFFECTED-GCC-O0-S,PCCC39589_39590-AFFECTED-GCC-O0-S,radare2/r2pipe,a37055698f8abae7a4d590dca6bc789436d69cd83516c22ed5646031f50daceb,gcc,O0,stripped,affected,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::PCCC39589_39590-AFFECTED-GCC-O0-U,PCCC39589_39590-AFFECTED-GCC-O0-U,radare2/r2pipe,4b2a5c2fad5b29197e9327e94bbfcf2d26a58efbab652de9a4d0c064c46efd3e,gcc,O0,unstripped,affected,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::PCCC39589_39590-PATCHLINKED-GCC-O0-S,PCCC39589_39590-PATCHLINKED-GCC-O0-S,radare2/r2pipe,b64a195af247f1bcf37b22e6338af246e62fd4f75b1b3bf130cdd7a4e31bbd8b,gcc,O0,stripped,patchlinked,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
JSS-EXT::SERVER46613-AFFECTED-GCC-O0-S,SERVER46613-AFFECTED-GCC-O0-S,radare2/r2pipe,fc9c1bcd56020066cb13d7fb68e74901996882e5dd80f08d73497113e1abf1d6,gcc,O0,stripped,affected,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,unobserved,explained,CROSS_PIPELINE_RECORDED_BOUNDARY,supported,not_required,NOT_APPLICABLE,complete,landed v5 adapter record; unverified semantics and POU roles remain unobserved with explained boundary,"Record-schema transfer only; no semantic completeness, vulnerability detection, behavioral patch confirmation, or ecosystem generalization.",DERIVED_EVIDENCE
